study_hrs,distraction_hrs,sleep_hrs,stress_level,source,is_productive
5.49,9.350000000000001,7.33,3,kaggle_20k,1
5.87,9.95,3.37,8,kaggle_20k,0
9.95,9.940000000000001,6.91,2,kaggle_20k,1
0.77,12.61,6.85,10,kaggle_20k,0
9.19,10.99,8.98,2,kaggle_20k,1
8.5,9.05,8.32,9,kaggle_20k,1
4.45,9.03,3.22,7,kaggle_20k,0
8.87,10.96,6.89,1,kaggle_20k,1
6.66,10.22,7.84,1,kaggle_20k,1
8.95,3.85,7.06,5,kaggle_20k,1
6.15,11.68,7.73,8,kaggle_20k,1
2.55,3.09,3.82,1,kaggle_20k,0
5.97,10.29,4.18,1,kaggle_20k,0
2.2,8.059999999999999,7.08,8,kaggle_20k,0
1.84,5.779999999999999,8.6,1,kaggle_20k,0
6.71,5.74,3.18,8,kaggle_20k,0
9.5,3.73,6.05,6,kaggle_20k,1
6.09,12.26,9.94,1,kaggle_20k,1
8.06,6.720000000000001,8.36,10,kaggle_20k,1
2.1,10.170000000000002,6.15,3,kaggle_20k,0
6.71,6.710000000000001,3.69,1,kaggle_20k,0
7.46,6.84,5.51,4,kaggle_20k,1
0.9,5.4,4.08,3,kaggle_20k,0
1.42,11.100000000000001,9.45,10,kaggle_20k,0
7.93,7.99,7.8,10,kaggle_20k,1
4.68,7.550000000000001,8.99,1,kaggle_20k,1
4.35,8.27,9.28,9,kaggle_20k,0
9.24,5.15,7.25,4,kaggle_20k,1
9.92,5.62,3.05,3,kaggle_20k,1
7.76,2.72,6.89,2,kaggle_20k,1
8.03,5.15,8.62,4,kaggle_20k,1
2.48,3.59,5.2,9,kaggle_20k,0
2.33,4.44,9.49,1,kaggle_20k,1
9.82,9.52,9.98,9,kaggle_20k,1
7.1,4.92,6.84,10,kaggle_20k,0
7.02,4.04,6.72,8,kaggle_20k,1
3.22,4.8100000000000005,7.59,4,kaggle_20k,0
8.92,6.84,6.96,2,kaggle_20k,1
0.92,6.14,4.12,8,kaggle_20k,0
3.11,8.04,4.9,4,kaggle_20k,0
2.21,2.02,4.41,8,kaggle_20k,0
7.26,9.129999999999999,3.5,4,kaggle_20k,1
7.3,5.17,3.98,5,kaggle_20k,1
5.58,7.28,9.81,2,kaggle_20k,1
0.55,3.27,6.88,6,kaggle_20k,0
8.8,8.149999999999999,3.88,5,kaggle_20k,1
9.58,8.34,7.99,1,kaggle_20k,1
2.42,6.220000000000001,6.34,6,kaggle_20k,0
8.5,6.49,4.57,2,kaggle_20k,1
9.75,10.68,9.6,5,kaggle_20k,1
3.61,6.539999999999999,4.57,1,kaggle_20k,1
2.26,3.79,3.68,4,kaggle_20k,0
9.79,2.02,4.44,9,kaggle_20k,1
1.07,7.35,9.38,9,kaggle_20k,0
3.12,9.120000000000001,9.0,8,kaggle_20k,0
7.55,6.07,9.26,6,kaggle_20k,1
6.36,10.51,9.41,10,kaggle_20k,1
7.0,6.6899999999999995,3.54,9,kaggle_20k,0
7.23,3.0100000000000002,7.98,10,kaggle_20k,1
7.02,8.57,7.65,1,kaggle_20k,1
3.75,8.44,9.95,7,kaggle_20k,1
3.46,6.04,8.0,10,kaggle_20k,0
4.57,3.7199999999999998,8.54,6,kaggle_20k,1
8.17,2.59,8.0,9,kaggle_20k,1
9.41,7.24,7.34,10,kaggle_20k,1
4.82,12.52,6.87,6,kaggle_20k,0
1.31,8.35,9.78,1,kaggle_20k,1
9.41,0.8099999999999999,9.55,1,kaggle_20k,1
1.26,8.15,6.06,3,kaggle_20k,0
2.01,9.629999999999999,4.99,4,kaggle_20k,0
8.74,7.3100000000000005,6.56,6,kaggle_20k,1
5.74,8.629999999999999,8.22,8,kaggle_20k,1
3.85,9.63,5.81,6,kaggle_20k,0
9.34,8.8,6.76,2,kaggle_20k,1
9.62,5.859999999999999,5.09,4,kaggle_20k,1
3.64,1.54,5.99,8,kaggle_20k,0
8.75,9.02,9.7,3,kaggle_20k,1
6.95,11.84,4.5,3,kaggle_20k,1
3.11,7.47,9.92,7,kaggle_20k,1
9.44,4.28,4.51,4,kaggle_20k,1
1.1,8.57,5.23,2,kaggle_20k,0
3.52,11.74,3.61,9,kaggle_20k,0
4.26,3.4699999999999998,8.26,7,kaggle_20k,0
7.06,9.81,3.12,3,kaggle_20k,1
0.87,7.63,8.51,5,kaggle_20k,0
8.95,7.26,7.04,9,kaggle_20k,0
6.76,6.840000000000001,8.24,4,kaggle_20k,1
3.11,9.27,8.48,2,kaggle_20k,0
6.75,7.76,3.87,9,kaggle_20k,1
5.6,9.280000000000001,3.15,7,kaggle_20k,0
3.69,9.370000000000001,4.18,8,kaggle_20k,0
0.77,1.1600000000000001,5.69,5,kaggle_20k,0
5.74,9.24,3.51,4,kaggle_20k,0
1.28,1.51,6.2,6,kaggle_20k,0
8.2,5.12,5.0,1,kaggle_20k,1
1.34,10.469999999999999,5.55,6,kaggle_20k,0
4.57,2.97,9.58,10,kaggle_20k,1
4.63,3.53,8.07,4,kaggle_20k,1
5.78,12.969999999999999,7.61,8,kaggle_20k,0
0.88,9.57,7.57,4,kaggle_20k,0
2.44,8.23,6.89,9,kaggle_20k,0
2.4,9.11,6.59,10,kaggle_20k,1
6.19,4.32,9.18,1,kaggle_20k,1
3.0,9.09,3.53,1,kaggle_20k,0
1.87,6.380000000000001,5.02,10,kaggle_20k,0
0.67,2.37,3.73,8,kaggle_20k,0
8.49,7.91,3.08,8,kaggle_20k,1
9.73,7.67,3.1,9,kaggle_20k,1
7.18,4.0,3.17,6,kaggle_20k,0
4.42,10.96,7.77,2,kaggle_20k,1
1.66,0.71,3.78,9,kaggle_20k,0
5.01,3.59,4.42,1,kaggle_20k,0
4.84,9.19,5.93,5,kaggle_20k,0
4.49,3.7800000000000002,4.88,3,kaggle_20k,0
4.09,11.05,8.72,1,kaggle_20k,1
5.22,8.28,7.36,10,kaggle_20k,1
1.2,9.18,5.33,4,kaggle_20k,0
0.86,7.51,5.22,5,kaggle_20k,0
1.11,3.0,7.79,10,kaggle_20k,0
2.4,2.2,4.19,9,kaggle_20k,0
3.14,7.98,4.96,5,kaggle_20k,1
2.11,8.45,5.47,8,kaggle_20k,0
2.89,3.81,6.18,4,kaggle_20k,0
2.27,12.5,4.33,7,kaggle_20k,0
1.93,6.29,4.1,2,kaggle_20k,0
3.28,9.61,9.93,9,kaggle_20k,1
4.28,7.35,9.39,9,kaggle_20k,1
7.57,5.57,6.67,5,kaggle_20k,1
9.58,5.02,8.36,7,kaggle_20k,1
9.23,5.2,7.72,3,kaggle_20k,1
5.02,4.68,3.53,1,kaggle_20k,0
4.88,8.67,6.63,2,kaggle_20k,1
1.69,3.24,4.29,8,kaggle_20k,0
9.73,9.879999999999999,7.09,6,kaggle_20k,1
7.72,8.24,3.43,9,kaggle_20k,1
8.55,7.8500000000000005,4.14,10,kaggle_20k,1
2.72,10.219999999999999,8.47,9,kaggle_20k,0
4.31,10.67,8.9,1,kaggle_20k,1
1.48,6.369999999999999,9.35,8,kaggle_20k,0
9.44,5.46,9.28,4,kaggle_20k,1
3.22,6.77,9.35,6,kaggle_20k,0
6.16,5.199999999999999,3.66,10,kaggle_20k,0
1.95,10.33,7.62,1,kaggle_20k,0
8.13,4.9399999999999995,7.91,8,kaggle_20k,1
2.27,7.49,4.88,2,kaggle_20k,0
8.19,8.33,9.95,3,kaggle_20k,1
4.32,6.92,5.0,6,kaggle_20k,0
5.99,5.38,7.02,8,kaggle_20k,1
3.06,3.03,9.11,4,kaggle_20k,0
8.89,9.02,5.02,8,kaggle_20k,1
7.72,4.65,7.25,6,kaggle_20k,1
3.87,13.399999999999999,8.04,9,kaggle_20k,0
6.06,4.82,7.39,10,kaggle_20k,1
1.73,4.9,5.84,10,kaggle_20k,0
2.02,7.35,9.61,1,kaggle_20k,0
5.57,7.279999999999999,7.29,5,kaggle_20k,1
6.59,8.04,4.57,5,kaggle_20k,1
5.8,9.629999999999999,8.64,4,kaggle_20k,0
5.81,8.76,7.59,4,kaggle_20k,1
7.55,11.969999999999999,3.77,10,kaggle_20k,0
9.07,5.67,4.95,5,kaggle_20k,0
4.18,7.25,4.11,5,kaggle_20k,0
5.6,9.3,3.51,5,kaggle_20k,1
8.98,2.9800000000000004,4.61,6,kaggle_20k,1
4.91,6.879999999999999,4.95,2,kaggle_20k,0
4.73,7.0600000000000005,6.27,9,kaggle_20k,0
7.78,4.75,9.78,1,kaggle_20k,1
8.83,0.98,9.6,2,kaggle_20k,1
7.51,11.76,8.28,7,kaggle_20k,1
1.45,7.5600000000000005,7.53,1,kaggle_20k,0
4.92,10.84,9.63,5,kaggle_20k,1
2.51,6.77,4.0,3,kaggle_20k,0
3.51,1.82,5.31,2,kaggle_20k,1
4.95,6.82,6.87,10,kaggle_20k,0
2.6,13.11,8.7,10,kaggle_20k,0
5.4,7.25,7.37,4,kaggle_20k,1
6.61,1.34,8.66,10,kaggle_20k,1
8.81,12.059999999999999,4.07,7,kaggle_20k,1
2.51,12.99,4.35,7,kaggle_20k,0
3.45,6.42,8.18,4,kaggle_20k,0
4.36,3.99,5.44,3,kaggle_20k,0
2.63,11.48,6.05,8,kaggle_20k,0
3.65,9.48,8.54,1,kaggle_20k,0
8.89,10.23,3.49,10,kaggle_20k,0
1.82,9.45,4.18,2,kaggle_20k,0
4.72,9.73,5.07,9,kaggle_20k,0
3.45,4.34,9.18,3,kaggle_20k,1
1.23,7.1899999999999995,5.83,1,kaggle_20k,0
1.41,5.18,4.76,6,kaggle_20k,0
7.96,8.969999999999999,7.75,6,kaggle_20k,1
8.6,6.1899999999999995,3.21,2,kaggle_20k,1
7.54,8.63,8.43,2,kaggle_20k,1
5.62,3.59,7.89,1,kaggle_20k,1
7.84,3.67,3.39,3,kaggle_20k,1
1.94,4.49,6.49,10,kaggle_20k,0
7.91,7.74,5.83,10,kaggle_20k,0
4.52,12.23,4.11,9,kaggle_20k,1
7.63,7.0600000000000005,4.08,6,kaggle_20k,0
2.66,10.51,4.12,6,kaggle_20k,0
8.41,9.3,7.2,9,kaggle_20k,1
5.9,5.83,4.2,1,kaggle_20k,1
0.57,10.0,3.42,3,kaggle_20k,0
5.43,5.43,9.7,5,kaggle_20k,1
3.45,3.88,3.27,2,kaggle_20k,0
1.05,7.1899999999999995,7.65,4,kaggle_20k,0
4.75,5.59,9.55,10,kaggle_20k,1
3.46,8.559999999999999,3.27,2,kaggle_20k,0
2.44,8.27,9.76,2,kaggle_20k,0
3.82,3.36,6.52,10,kaggle_20k,0
2.21,1.43,8.5,5,kaggle_20k,0
3.35,4.04,7.38,6,kaggle_20k,0
1.6,8.9,7.32,2,kaggle_20k,0
1.3,7.880000000000001,8.52,10,kaggle_20k,0
9.15,5.88,3.46,7,kaggle_20k,1
9.08,5.16,5.75,3,kaggle_20k,1
8.37,9.25,9.79,9,kaggle_20k,1
2.69,9.08,3.38,10,kaggle_20k,0
7.4,6.66,4.84,9,kaggle_20k,1
6.1,11.74,7.7,3,kaggle_20k,1
0.99,9.08,3.7,2,kaggle_20k,0
9.05,5.28,6.76,4,kaggle_20k,1
9.98,9.629999999999999,7.99,7,kaggle_20k,1
7.23,5.949999999999999,8.3,8,kaggle_20k,1
2.7,6.39,6.93,7,kaggle_20k,0
5.77,12.69,6.5,7,kaggle_20k,0
1.54,8.57,8.0,2,kaggle_20k,1
3.34,1.1400000000000001,4.02,7,kaggle_20k,0
7.31,3.7,7.76,3,kaggle_20k,1
3.36,3.52,9.43,3,kaggle_20k,0
1.9,8.19,7.78,2,kaggle_20k,0
0.57,4.23,3.33,5,kaggle_20k,0
5.94,9.09,6.54,4,kaggle_20k,1
9.7,5.59,8.08,6,kaggle_20k,1
5.1,5.3100000000000005,3.3,8,kaggle_20k,0
2.52,5.59,8.34,9,kaggle_20k,0
4.9,3.28,4.97,6,kaggle_20k,1
6.22,8.19,7.12,8,kaggle_20k,1
8.11,5.52,9.76,5,kaggle_20k,1
4.8,7.109999999999999,9.96,6,kaggle_20k,1
2.14,2.02,7.44,9,kaggle_20k,0
2.29,1.8299999999999998,6.44,3,kaggle_20k,0
9.05,5.609999999999999,4.24,10,kaggle_20k,1
2.74,10.059999999999999,4.46,2,kaggle_20k,0
7.42,6.33,6.0,1,kaggle_20k,1
3.06,11.02,7.92,10,kaggle_20k,0
7.35,7.72,8.39,3,kaggle_20k,1
1.24,4.34,4.55,8,kaggle_20k,0
2.47,13.12,6.75,1,kaggle_20k,0
4.38,7.75,7.14,6,kaggle_20k,1
5.4,0.9199999999999999,9.25,2,kaggle_20k,1
3.85,4.47,9.13,1,kaggle_20k,0
5.95,2.07,8.72,8,kaggle_20k,1
3.59,7.300000000000001,6.62,10,kaggle_20k,0
6.95,1.8599999999999999,3.46,7,kaggle_20k,1
5.36,6.720000000000001,5.34,1,kaggle_20k,1
7.2,2.6799999999999997,7.35,7,kaggle_20k,1
4.59,7.67,7.46,8,kaggle_20k,1
8.83,4.4,8.94,10,kaggle_20k,1
4.13,10.33,5.66,8,kaggle_20k,0
3.43,8.62,9.56,7,kaggle_20k,0
5.79,4.67,4.14,7,kaggle_20k,0
5.34,4.49,3.35,9,kaggle_20k,0
5.42,5.07,4.24,1,kaggle_20k,0
8.06,9.67,6.24,8,kaggle_20k,1
6.09,11.55,8.76,7,kaggle_20k,0
8.91,1.94,4.08,5,kaggle_20k,1
6.38,5.82,6.84,9,kaggle_20k,1
0.71,3.08,8.44,2,kaggle_20k,0
8.77,8.07,3.24,4,kaggle_20k,1
8.48,8.77,3.29,8,kaggle_20k,1
0.96,5.449999999999999,6.43,9,kaggle_20k,0
1.69,5.79,4.28,2,kaggle_20k,0
5.79,5.04,6.15,8,kaggle_20k,0
0.91,9.38,3.31,8,kaggle_20k,0
4.41,11.71,9.84,3,kaggle_20k,1
9.77,6.51,7.58,3,kaggle_20k,1
2.14,10.29,7.81,6,kaggle_20k,0
2.46,3.75,6.57,4,kaggle_20k,0
6.93,6.6,8.77,9,kaggle_20k,1
0.92,3.4,8.83,3,kaggle_20k,0
8.3,8.559999999999999,4.11,4,kaggle_20k,1
2.39,11.61,8.38,2,kaggle_20k,1
5.55,10.18,6.97,7,kaggle_20k,1
2.86,4.85,8.34,2,kaggle_20k,0
6.76,5.18,9.43,5,kaggle_20k,1
6.08,9.5,5.35,1,kaggle_20k,0
9.49,3.83,7.0,3,kaggle_20k,1
4.73,4.3,8.51,3,kaggle_20k,1
8.81,4.97,9.91,9,kaggle_20k,1
5.97,3.96,7.29,8,kaggle_20k,1
9.19,0.75,8.05,8,kaggle_20k,1
3.27,4.41,8.92,1,kaggle_20k,1
5.72,12.71,8.26,10,kaggle_20k,0
4.21,3.5,9.6,9,kaggle_20k,1
1.13,6.76,4.61,10,kaggle_20k,0
5.96,5.91,9.35,5,kaggle_20k,1
8.05,8.66,4.45,3,kaggle_20k,1
5.78,5.32,6.96,3,kaggle_20k,1
3.15,10.43,6.66,2,kaggle_20k,1
3.01,7.84,8.82,5,kaggle_20k,0
2.76,6.51,5.79,6,kaggle_20k,0
9.81,7.75,4.0,9,kaggle_20k,1
4.29,5.470000000000001,7.95,3,kaggle_20k,1
3.51,2.05,7.25,3,kaggle_20k,0
4.48,9.25,8.79,10,kaggle_20k,1
1.6,4.4799999999999995,8.31,1,kaggle_20k,1
2.36,6.63,9.26,10,kaggle_20k,0
5.33,11.559999999999999,8.87,4,kaggle_20k,0
8.09,4.14,7.8,3,kaggle_20k,1
8.83,4.35,6.26,10,kaggle_20k,0
8.73,12.34,3.14,6,kaggle_20k,1
9.48,9.66,5.15,1,kaggle_20k,1
1.69,10.92,8.09,6,kaggle_20k,0
0.89,3.39,3.42,2,kaggle_20k,0
1.5,9.780000000000001,8.3,7,kaggle_20k,1
6.21,6.37,6.61,7,kaggle_20k,1
5.78,7.0600000000000005,9.07,9,kaggle_20k,1
6.88,12.54,7.62,1,kaggle_20k,1
4.03,8.790000000000001,8.59,7,kaggle_20k,0
4.22,4.55,4.2,4,kaggle_20k,0
5.68,4.56,4.21,7,kaggle_20k,0
1.25,7.16,4.48,10,kaggle_20k,0
8.1,7.0600000000000005,5.33,3,kaggle_20k,1
9.27,5.279999999999999,9.33,5,kaggle_20k,1
4.18,9.59,8.42,2,kaggle_20k,0
7.53,12.95,5.55,1,kaggle_20k,1
5.71,4.67,9.43,6,kaggle_20k,0
2.74,9.7,8.45,9,kaggle_20k,0
1.14,9.1,7.59,5,kaggle_20k,0
2.84,10.719999999999999,6.06,10,kaggle_20k,0
6.25,9.15,7.56,4,kaggle_20k,1
0.88,13.940000000000001,7.15,10,kaggle_20k,0
8.44,10.18,8.47,9,kaggle_20k,1
9.72,4.39,4.58,2,kaggle_20k,1
1.29,3.25,9.2,5,kaggle_20k,0
2.84,7.67,7.14,9,kaggle_20k,0
6.92,8.46,8.65,2,kaggle_20k,1
8.16,6.76,5.43,3,kaggle_20k,1
3.79,8.77,5.74,6,kaggle_20k,1
5.39,1.71,9.56,2,kaggle_20k,1
8.97,8.01,7.35,9,kaggle_20k,1
4.15,8.46,5.22,8,kaggle_20k,1
1.27,7.35,3.58,10,kaggle_20k,0
9.95,4.5,6.04,5,kaggle_20k,1
2.21,5.390000000000001,8.94,8,kaggle_20k,0
0.96,7.459999999999999,4.76,2,kaggle_20k,0
4.4,8.68,9.02,8,kaggle_20k,0
1.65,8.97,4.13,9,kaggle_20k,0
9.8,6.78,3.91,2,kaggle_20k,0
4.12,11.39,7.24,5,kaggle_20k,1
8.35,3.95,8.63,6,kaggle_20k,1
2.18,0.48000000000000004,8.46,5,kaggle_20k,1
1.82,4.7,6.81,2,kaggle_20k,0
6.67,4.01,7.47,9,kaggle_20k,1
9.14,11.39,4.81,4,kaggle_20k,1
1.59,10.850000000000001,6.86,3,kaggle_20k,1
6.1,10.08,4.45,5,kaggle_20k,0
1.31,5.75,9.5,4,kaggle_20k,0
8.22,11.3,7.75,8,kaggle_20k,1
9.14,7.03,6.95,2,kaggle_20k,1
6.47,8.969999999999999,4.73,4,kaggle_20k,1
7.04,7.7,5.86,10,kaggle_20k,1
1.03,4.99,8.46,3,kaggle_20k,0
1.19,7.58,4.68,4,kaggle_20k,0
2.21,10.989999999999998,3.9,8,kaggle_20k,0
3.1,8.64,5.15,10,kaggle_20k,0
7.72,10.559999999999999,8.56,6,kaggle_20k,1
4.64,8.18,9.18,5,kaggle_20k,1
1.24,6.21,5.9,5,kaggle_20k,0
8.6,9.31,8.47,2,kaggle_20k,1
9.94,6.880000000000001,5.33,9,kaggle_20k,1
4.82,8.74,6.56,7,kaggle_20k,0
5.36,2.15,3.14,1,kaggle_20k,1
1.25,10.440000000000001,7.98,8,kaggle_20k,0
4.14,6.32,8.03,8,kaggle_20k,0
4.03,4.42,3.7,6,kaggle_20k,0
9.68,6.38,5.51,3,kaggle_20k,1
6.77,7.29,6.38,2,kaggle_20k,1
7.93,5.62,8.42,8,kaggle_20k,1
1.72,9.89,8.77,7,kaggle_20k,0
4.46,9.129999999999999,8.03,5,kaggle_20k,0
2.32,5.01,4.51,5,kaggle_20k,0
8.67,9.51,5.49,2,kaggle_20k,1
1.95,5.98,4.73,9,kaggle_20k,0
4.67,13.55,7.46,3,kaggle_20k,1
1.01,9.629999999999999,7.53,10,kaggle_20k,0
6.53,5.73,3.11,6,kaggle_20k,1
5.08,6.74,8.12,9,kaggle_20k,0
5.23,8.2,4.61,6,kaggle_20k,0
1.47,7.41,8.61,8,kaggle_20k,0
5.38,10.2,8.83,2,kaggle_20k,1
5.86,5.82,8.58,1,kaggle_20k,0
9.65,2.33,5.86,9,kaggle_20k,1
0.82,9.43,5.44,5,kaggle_20k,0
9.27,7.66,6.05,7,kaggle_20k,1
5.06,9.39,6.69,8,kaggle_20k,0
2.5,12.54,4.75,9,kaggle_20k,0
6.82,8.41,9.52,2,kaggle_20k,1
5.41,9.36,6.53,10,kaggle_20k,0
2.65,5.22,3.51,3,kaggle_20k,0
6.45,6.99,9.98,1,kaggle_20k,1
5.0,9.84,6.39,4,kaggle_20k,1
7.05,10.46,9.63,2,kaggle_20k,1
7.05,0.5,5.73,3,kaggle_20k,1
4.99,10.89,4.57,6,kaggle_20k,1
4.21,7.029999999999999,8.16,4,kaggle_20k,0
1.1,6.18,6.03,1,kaggle_20k,0
5.19,10.71,9.17,3,kaggle_20k,0
2.81,4.959999999999999,6.25,4,kaggle_20k,0
1.01,7.18,5.37,3,kaggle_20k,0
3.64,5.569999999999999,9.77,3,kaggle_20k,1
1.33,10.32,8.81,4,kaggle_20k,0
6.01,7.05,4.44,7,kaggle_20k,0
5.28,8.86,6.42,7,kaggle_20k,1
8.03,4.890000000000001,3.79,1,kaggle_20k,1
3.04,7.14,3.75,10,kaggle_20k,0
4.03,8.64,8.97,2,kaggle_20k,1
7.05,5.91,9.52,8,kaggle_20k,1
9.93,2.06,8.17,10,kaggle_20k,1
9.09,6.33,9.92,10,kaggle_20k,1
5.45,5.289999999999999,3.32,8,kaggle_20k,0
6.94,6.08,5.32,4,kaggle_20k,1
5.55,4.140000000000001,3.92,8,kaggle_20k,1
4.63,8.64,8.47,4,kaggle_20k,1
6.22,5.220000000000001,9.23,3,kaggle_20k,1
4.17,7.06,6.13,3,kaggle_20k,0
3.16,1.56,8.8,9,kaggle_20k,1
7.2,4.47,8.93,10,kaggle_20k,1
8.78,9.5,3.98,8,kaggle_20k,1
3.24,9.879999999999999,5.64,1,kaggle_20k,0
7.22,6.72,4.32,3,kaggle_20k,0
4.62,8.06,7.69,4,kaggle_20k,1
3.37,7.92,5.71,5,kaggle_20k,0
6.4,4.6,7.67,3,kaggle_20k,1
9.42,2.5,9.13,10,kaggle_20k,1
3.84,7.77,5.89,6,kaggle_20k,0
7.72,13.54,9.8,4,kaggle_20k,1
3.49,5.02,5.86,9,kaggle_20k,0
8.14,10.45,4.5,1,kaggle_20k,0
7.72,2.2800000000000002,6.7,5,kaggle_20k,1
7.77,10.059999999999999,5.79,7,kaggle_20k,1
9.98,3.4,3.88,6,kaggle_20k,1
1.83,1.2000000000000002,3.16,9,kaggle_20k,0
4.19,4.51,8.21,5,kaggle_20k,0
6.49,7.72,9.53,10,kaggle_20k,0
6.11,7.87,6.08,9,kaggle_20k,0
7.92,6.67,3.46,9,kaggle_20k,1
0.95,10.73,8.18,3,kaggle_20k,0
7.2,7.93,9.07,3,kaggle_20k,1
7.51,11.21,5.27,2,kaggle_20k,1
1.08,7.84,4.55,5,kaggle_20k,0
5.62,6.51,5.36,4,kaggle_20k,0
2.83,7.72,9.36,7,kaggle_20k,0
8.12,0.18,5.93,4,kaggle_20k,1
0.97,8.51,7.58,5,kaggle_20k,0
1.89,1.55,3.52,8,kaggle_20k,0
1.49,7.22,4.97,9,kaggle_20k,0
1.12,3.32,4.6,5,kaggle_20k,0
6.2,4.640000000000001,3.44,1,kaggle_20k,0
8.75,4.48,3.84,1,kaggle_20k,1
5.35,8.19,5.92,1,kaggle_20k,0
2.5,5.77,6.91,10,kaggle_20k,0
3.77,10.29,5.18,1,kaggle_20k,0
3.92,7.57,5.94,3,kaggle_20k,1
4.79,4.9799999999999995,8.32,10,kaggle_20k,0
4.5,10.29,4.73,9,kaggle_20k,0
6.88,2.04,3.24,10,kaggle_20k,0
3.73,10.82,4.8,1,kaggle_20k,0
6.8,8.39,9.45,2,kaggle_20k,1
5.69,7.36,3.13,6,kaggle_20k,0
0.96,7.28,3.9,2,kaggle_20k,0
9.24,4.16,3.46,7,kaggle_20k,1
2.19,8.66,5.64,4,kaggle_20k,0
4.79,11.36,7.53,5,kaggle_20k,0
9.5,12.89,9.37,10,kaggle_20k,1
2.85,4.72,8.56,1,kaggle_20k,1
0.71,7.699999999999999,4.75,5,kaggle_20k,0
5.16,10.34,7.44,8,kaggle_20k,0
2.63,2.9299999999999997,7.65,6,kaggle_20k,0
6.03,6.2,3.63,1,kaggle_20k,0
8.26,9.22,5.99,1,kaggle_20k,1
5.36,5.96,5.18,2,kaggle_20k,0
6.63,6.22,4.1,8,kaggle_20k,1
6.83,9.11,3.41,10,kaggle_20k,1
8.3,2.34,3.19,2,kaggle_20k,1
7.04,2.94,9.01,5,kaggle_20k,1
9.77,9.39,5.31,5,kaggle_20k,1
4.83,8.57,6.45,1,kaggle_20k,1
0.98,3.2699999999999996,5.04,7,kaggle_20k,0
4.24,10.2,4.16,7,kaggle_20k,0
8.48,8.31,4.83,4,kaggle_20k,1
1.76,3.88,4.19,2,kaggle_20k,0
7.49,4.57,8.31,1,kaggle_20k,1
5.59,12.2,9.35,8,kaggle_20k,1
9.06,5.7,6.04,3,kaggle_20k,1
7.45,8.94,8.76,1,kaggle_20k,1
6.77,8.24,5.98,9,kaggle_20k,1
8.93,5.81,6.13,10,kaggle_20k,0
9.13,5.19,6.4,2,kaggle_20k,1
4.16,10.1,8.74,3,kaggle_20k,1
9.31,6.91,9.55,8,kaggle_20k,1
1.02,6.85,8.21,7,kaggle_20k,0
7.74,3.74,9.22,3,kaggle_20k,1
3.7,10.629999999999999,7.5,8,kaggle_20k,1
5.13,9.36,8.87,7,kaggle_20k,0
8.44,5.6,6.9,9,kaggle_20k,1
6.55,4.74,8.41,7,kaggle_20k,1
4.85,10.9,7.94,9,kaggle_20k,0
2.06,6.390000000000001,8.24,9,kaggle_20k,0
9.42,7.1899999999999995,4.64,7,kaggle_20k,1
3.66,4.91,4.08,10,kaggle_20k,0
1.46,6.07,7.57,8,kaggle_20k,0
5.86,7.48,6.38,5,kaggle_20k,1
4.36,9.15,8.35,1,kaggle_20k,0
6.11,2.7800000000000002,4.03,5,kaggle_20k,0
2.72,7.3100000000000005,9.63,3,kaggle_20k,1
4.1,0.98,7.93,9,kaggle_20k,0
9.74,7.27,3.16,1,kaggle_20k,1
9.4,13.399999999999999,7.04,1,kaggle_20k,1
8.71,3.26,5.19,2,kaggle_20k,1
7.9,10.61,4.92,8,kaggle_20k,0
1.99,6.279999999999999,9.32,10,kaggle_20k,0
4.94,6.77,8.85,9,kaggle_20k,0
7.42,4.9799999999999995,3.07,5,kaggle_20k,1
2.99,7.75,4.27,8,kaggle_20k,0
0.81,8.94,8.04,4,kaggle_20k,0
4.47,7.859999999999999,8.94,1,kaggle_20k,1
4.54,3.35,8.02,2,kaggle_20k,1
1.12,6.529999999999999,6.68,3,kaggle_20k,0
3.55,4.15,9.89,10,kaggle_20k,0
9.21,5.93,8.58,1,kaggle_20k,1
2.88,8.94,6.28,7,kaggle_20k,0
5.91,6.18,7.08,10,kaggle_20k,1
5.13,11.77,3.31,4,kaggle_20k,0
8.69,9.01,9.75,3,kaggle_20k,1
6.71,6.92,5.54,5,kaggle_20k,1
2.01,9.67,7.63,7,kaggle_20k,0
1.86,7.930000000000001,7.67,2,kaggle_20k,0
5.8,1.6600000000000001,3.4,8,kaggle_20k,0
0.94,11.91,4.86,6,kaggle_20k,0
4.24,6.32,7.59,10,kaggle_20k,0
4.29,11.66,9.39,1,kaggle_20k,1
2.37,6.75,8.45,5,kaggle_20k,0
3.36,12.04,7.06,8,kaggle_20k,0
3.63,4.42,4.63,4,kaggle_20k,0
0.61,12.920000000000002,9.64,8,kaggle_20k,0
8.16,11.89,5.83,1,kaggle_20k,1
9.6,6.65,4.05,3,kaggle_20k,1
3.25,10.190000000000001,3.15,3,kaggle_20k,0
1.56,9.22,9.65,10,kaggle_20k,0
9.56,10.129999999999999,8.45,7,kaggle_20k,1
7.54,3.0999999999999996,4.51,1,kaggle_20k,1
8.97,4.23,3.99,9,kaggle_20k,1
3.93,6.96,9.72,9,kaggle_20k,0
5.1,6.54,4.69,9,kaggle_20k,0
9.34,9.6,6.23,4,kaggle_20k,1
4.87,4.27,7.28,8,kaggle_20k,0
6.88,8.719999999999999,3.44,2,kaggle_20k,0
7.2,8.5,5.41,3,kaggle_20k,1
